City,Latitude,Longitude,Population
London,51.5074,-0.1278,8961989
Birmingham,52.4862,-1.8904,1153717
Leeds,53.8008,-1.5491,789194
Glasgow,55.8642,-4.2518,635640
Sheffield,53.3811,-1.4701,584853
Manchester,53.4808,-2.2426,552858
Bradford,53.7950,-1.7594,536986
Liverpool,53.4084,-2.9916,498042
Edinburgh,55.9533,-3.1883,482005
Bristol,51.4545,-2.5879,467099
Coventry,52.4068,-1.5197,379387
Cardiff,51.4816,-3.1791,369202
Leicester,52.6369,-1.1398,357423
Nottingham,52.9548,-1.1581,331297
Newcastle upon Tyne,54.9783,-1.6174,300196
Brighton,50.8225,-0.1372,290885
Stockport,53.4098,-2.1575,293423
Luton,51.8787,-0.4200,286380
Sunderland,54.9069,-1.3838,277962
Hull,53.7676,-0.3274,260645
Plymouth,50.3755,-4.1427,262172
Derby,52.9225,-1.4746,262230
Stoke-on-Trent,53.0027,-2.1794,256375
Wolverhampton,52.5862,-2.1281,254406
Southampton,50.9097,-1.4044,252520
Portsmouth,50.8167,-1.0833,238137
Oldham,53.5409,-2.1114,237110
Milton Keynes,52.0406,-0.7594,229941
Aberdeen,57.1497,-2.0943,227560
Northampton,52.2405,-0.9027,225656
Reading,51.4543,-0.9781,342117
Swindon,51.5588,-1.7817,222193
Peterborough,52.5726,-0.2420,215700
Norwich,52.6309,1.2974,213166
Warrington,53.3925,-2.5802,209704
York,53.9590,-1.0815,210618
Middlesbrough,54.5742,-1.2348,174700
Huddersfield,53.6458,-1.7850,162949
Oxford,51.7520,-1.2577,151584
Cambridge,52.2053,0.1218,149530
Blackpool,53.8175,-3.0357,138381
Ipswich,52.0594,1.1557,133384
Exeter,50.7184,-3.5339,131405
Woking,51.3180,-0.5589,103932
Crawley,51.1091,-0.1872,112448
Southend-on-Sea,51.5459,0.7079,182773
St Helens,53.4541,-2.7362,180585
Southport,53.6467,-3.0067,91703
Barnsley,53.5526,-1.4820,91297
